Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2024
ACEH,11934
SUMATERA UTARA,60724
SUMATERA BARAT,13099
RIAU,17799
JAMBI,7592
SUMATERA SELATAN,25154
BENGKULU,5323
LAMPUNG,16249
KEP. BANGKA BELITUNG,2645
KEP. RIAU,5294
METRO JAYA,77261
JAWA BARAT,37636
JAWA TENGAH,41460
DI YOGYAKARTA,11659
JAWA TIMUR,60102
BANTEN,6868
BALI,13848
NUSA TENGGARA BARAT,7546
NUSA TENGGARA TIMUR,13007
KALIMANTAN BARAT,6246
KALIMANTAN TENGAH,4897
KALIMANTAN SELATAN,5952
KALIMANTAN TIMUR,7158
KALIMANTAN UTARA,1593
SULAWESI UTARA,13078
SULAWESI TENGAH,9623
SULAWESI SELATAN,39443
SULAWESI TENGGARA,5939
GORONTALO,3317
SULAWESI BARAT,2882
MALUKU,4512
MALUKU UTARA,2146
PAPUA BARAT,6085
PAPUA,13922
INDONESIA,561993
