Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2017
ACEH,8885
SUMATERA UTARA,39867
SUMATERA BARAT,13205
RIAU,6869
JAMBI,9531
SUMATERA SELATAN,15728
BENGKULU,4867
LAMPUNG,11089
KEP. BANGKA BELITUNG,1931
KEP. RIAU,3673
METRO JAYA,34767
JAWA BARAT,25183
JAWA TENGAH,12033
DI YOGYAKARTA,7251
JAWA TIMUR,34598
BANTEN,3692
BALI,3589
NUSA TENGGARA BARAT,8132
NUSA TENGGARA TIMUR,6729
KALIMANTAN BARAT,6020
KALIMANTAN TENGAH,2699
KALIMANTAN SELATAN,6578
KALIMANTAN TIMUR,9149
KALIMANTAN UTARA,-
SULAWESI UTARA,7981
SULAWESI TENGAH,10240
SULAWESI SELATAN,21616
SULAWESI TENGGARA,2866
GORONTALO,3099
SULAWESI BARAT,1841
MALUKU,3086
MALUKU UTARA,789
PAPUA BARAT,2284
PAPUA,6785
INDONESIA,336652
