Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2017,,,,,,,,,,,,,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,334556,259457,287522,294602,294629,280475,384004,309004,305698,307834,301136,318806,-,84349,76546,78018,82936,78022,88652,86533,69973,76299,76728,77147,107683,-
Soekarno Hatta-Jakarta,1704606,1479097,1756665,1802960,1805970,1788098,2109734,1891326,1787086,1841654,1855288,2108796,-,579253,556814,650897,642422,591403,577780,581229,609355,594239,572199,651125,766806,-
Juanda-Surabaya,672153,546280,613925,615053,618375,539747,889548,676016,696308,655005,666423,735560,-,76162,72852,77381,70694,69750,64102,88245,75571,76091,73603,86459,107000,-
Hasanudin-Makassar,352303,277667,324880,321736,339579,295404,437365,339820,363580,355451,344065,366189,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,449607,357173,378507,420640,442834,393120,547576,506510,456201,414066,367584,394869,-,468463,420785,418326,454946,474471,495216,565919,621580,553183,494242,384869,276983,-
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
