Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2019,,,,,,,,,,,,,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,280839,198871,202298,195395,155731,245820,236009,225363,214364,225484,229847,220846,-,93545,91941,88223,90421,79875,97553,100076,85780,81069,88726,90653,103042,-
Soekarno Hatta-Jakarta,1569630,1427000,1538314,1403186,1276006,1568669,1749777,1714643,1630312,1738571,1778862,1870092,-,624311,577299,695729,635388,579636,645915,675415,667553,648081,699038,682847,767612,-
Juanda-Surabaya,560242,473070,481147,443457,378933,607024,620237,541273,516321,543876,549010,574001,-,95023,87859,99910,91459,76965,96241,130138,95313,89222,96924,105504,116099,-
Hasanudin-Makassar,299845,242539,261757,246228,221716,306475,307516,291482,289609,295343,299358,291897,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,428629,357076,369930,364220,289400,460273,459284,480603,424781,435861,435288,450458,-,541448,500785,513587,538691,574330,581191,633137,674291,625912,634562,562609,557946,-
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
