Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2014,,,,,,,,,,,,,2014,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,259256,241508,252182,236090,248371,306942,241200,316737,262390,262136,248748,258578,-,60902,71807,67347,73025,76605,83061,72023,65267,67857,68110,67275,92449,-
Soekarno Hatta-Jakarta,1712529,1306951,1658568,1504102,1860120,1793386,1575907,1749146,1644321,1786361,1724281,1950020,-,511279,457363,582058,474420,551213,574819,501827,452597,511170,516954,473468,637672,-
Juanda-Surabaya,617838,479197,538497,510996,554213,609753,455747,743304,604342,636143,593137,644533,-,76063,66733,72501,68315,71341,71210,55537,80665,69489,98232,74874,83161,-
Hasanudin-Makassar,287815,235540,255067,236644,262107,273007,219635,306915,245300,284951,272188,268411,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,400459,321076,333199,328577,381608,407208,347456,458378,378289,388691,379706,391516,-,344598,316680,314088,308091,323686,354380,376481,401519,374428,386836,327697,321066,-
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
