Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2016,,,,,,,,,,,,,2016,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,317318,317318,300626,297024,322226,280360,380567,312035,278897,287853,264322,289707,-,66855,67007,67760,64828,70489,73855,78549,70203,60776,64943,66047,98487,-
Soekarno Hatta-Jakarta,1746840,1514119,1669840,1654878,1863374,1542497,1940711,1730919,1639365,1666021,1643796,1963622,-,526597,497420,574291,533466,552259,519587,519619,604864,537419,513266,532389,711289,-
Juanda-Surabaya,656208,571726,618357,596085,675702,523451,825715,792232,649375,718451,699285,693048,-,76998,67737,78994,73520,71163,64703,79797,53219,66131,72468,63731,93487,-
Hasanudin-Makassar,376967,282961,309626,302431,349507,277715,395195,318159,323990,319488,318297,350815,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,322876,338482,388148,349140,427732,381772,511350,475869,431540,430997,411965,455718,-,413236,395123,347321,384729,418123,414317,465219,488154,447044,455097,399929,407578,-
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
