Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2018
ACEH,8758
SUMATERA UTARA,32922
SUMATERA BARAT,12953
RIAU,7246
JAMBI,6313
SUMATERA SELATAN,13558
BENGKULU,3389
LAMPUNG,8963
KEP. BANGKA BELITUNG,2048
KEP. RIAU,3409
METRO JAYA,34655
JAWA BARAT,16209
JAWA TENGAH,9127
DI YOGYAKARTA,6731
JAWA TIMUR,26295
BANTEN,3623
BALI,3212
NUSA TENGGARA BARAT,6451
NUSA TENGGARA TIMUR,6257
KALIMANTAN BARAT,5814
KALIMANTAN TENGAH,2667
KALIMANTAN SELATAN,5699
KALIMANTAN TIMUR,6287
KALIMANTAN UTARA,396
SULAWESI UTARA,10247
SULAWESI TENGAH,9379
SULAWESI SELATAN,21498
SULAWESI TENGGARA,1263
GORONTALO,2836
SULAWESI BARAT,1817
MALUKU,2751
MALUKU UTARA,722
PAPUA BARAT,3475
PAPUA,7311
INDONESIA,294281
