Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2015
ACEH,8048
SUMATERA UTARA,35248
SUMATERA BARAT,16277
RIAU,9595
JAMBI,10564
SUMATERA SELATAN,20575
BENGKULU,4463
LAMPUNG,9218
KEP. BANGKA BELITUNG,1875
KEP. RIAU,4892
METRO JAYA,44461
JAWA BARAT,27805
JAWA TENGAH,15958
DI YOGYAKARTA,9692
JAWA TIMUR,35437
BANTEN,5002
BALI,5032
NUSA TENGGARA BARAT,6015
NUSA TENGGARA TIMUR,6709
KALIMANTAN BARAT,6669
KALIMANTAN TENGAH,2681
KALIMANTAN SELATAN,6809
KALIMANTAN TIMUR,8764
KALIMANTAN UTARA,-
SULAWESI UTARA,7837
SULAWESI TENGAH,8988
SULAWESI SELATAN,16088
SULAWESI TENGGARA,3655
GORONTALO,3372
SULAWESI BARAT,-
MALUKU,1843
MALUKU UTARA,814
PAPUA BARAT,1356
PAPUA,7194
INDONESIA,352936
