Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2015,,,,,,,,,,,,,2015,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,294748,221984,240988,248491,265442,268027,316429,308179,245614,249646,276671,290476,-,68314,68114,73720,71667,69355,73554,75815,61352,54032,55543,55465,82385,-
Soekarno Hatta-Jakarta,1478308,1332181,1490037,1492524,1655718,1556379,1798426,1759884,1467594,1603937,1620867,1875545,-,529164,472881,554618,530864,540991,514979,506518,579491,494213,493901,481367,649396,-
Juanda-Surabaya,565027,474994,501031,513301,568271,518583,608491,699259,545042,605010,587291,671396,-,70408,55608,67923,63127,62931,60985,63755,94383,82329,72086,63856,78991,-
Hasanudin-Makassar,263245,215298,252525,234491,281906,261900,309799,322679,256807,308115,292726,306862,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,356314,292316,315635,333421,375761,356428,380438,404915,327845,354721,317524,306862,-,351858,333226,316858,325125,345822,370809,394150,440321,381684,509019,295608,343367,-
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
