Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2023
ACEH,12420
SUMATERA UTARA,62278
SUMATERA BARAT,12722
RIAU,15777
JAMBI,7432
SUMATERA SELATAN,21335
BENGKULU,5579
LAMPUNG,16608
KEP. BANGKA BELITUNG,2211
KEP. RIAU,5074
METRO JAYA,87426
JAWA BARAT,45694
JAWA TENGAH,42304
DI YOGYAKARTA,12061
JAWA TIMUR,66741
BANTEN,7392
BALI,11916
NUSA TENGGARA BARAT,7550
NUSA TENGGARA TIMUR,12692
KALIMANTAN BARAT,6028
KALIMANTAN TENGAH,4420
KALIMANTAN SELATAN,6375
KALIMANTAN TIMUR,6762
KALIMANTAN UTARA,1701
SULAWESI UTARA,14265
SULAWESI TENGAH,8944
SULAWESI SELATAN,41196
SULAWESI TENGGARA,6276
GORONTALO,3574
SULAWESI BARAT,2679
MALUKU,4741
MALUKU UTARA,2334
PAPUA BARAT,6410
PAPUA,14074
INDONESIA,584991
