id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tanah_longsor,satuan,tahun
24,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2012
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2012
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KEJADIAN,2012
27,32,JAWA BARAT,3279,KOTA BANJAR,8,KEJADIAN,2012
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,48,KEJADIAN,2013
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,34,KEJADIAN,2013
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,17,KEJADIAN,2013
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,KEJADIAN,2013
32,32,JAWA BARAT,3205,KABUPATEN GARUT,64,KEJADIAN,2013
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,61,KEJADIAN,2013
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,37,KEJADIAN,2013
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,119,KEJADIAN,2013
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,KEJADIAN,2013
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12,KEJADIAN,2013
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7,KEJADIAN,2013
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2013
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,KEJADIAN,2013
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2,KEJADIAN,2013
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,KEJADIAN,2013
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,KEJADIAN,2013
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,35,KEJADIAN,2013
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2013
46,32,JAWA BARAT,3271,KOTA BOGOR,3,KEJADIAN,2013
47,32,JAWA BARAT,3272,KOTA SUKABUMI,11,KEJADIAN,2013
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,KEJADIAN,2013
49,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2013
50,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2013
51,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2013
52,32,JAWA BARAT,3277,KOTA CIMAHI,7,KEJADIAN,2013
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,KEJADIAN,2013
54,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2013
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,19,KEJADIAN,2014
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25,KEJADIAN,2014
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14,KEJADIAN,2014
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15,KEJADIAN,2014
59,32,JAWA BARAT,3205,KABUPATEN GARUT,27,KEJADIAN,2014
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,32,KEJADIAN,2014
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,44,KEJADIAN,2014
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,46,KEJADIAN,2014
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,KEJADIAN,2014
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,KEJADIAN,2014
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,KEJADIAN,2014
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2014
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,KEJADIAN,2014
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,KEJADIAN,2014
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,KEJADIAN,2014
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2014
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,KEJADIAN,2014
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2014
73,32,JAWA BARAT,3271,KOTA BOGOR,3,KEJADIAN,2014
74,32,JAWA BARAT,3272,KOTA SUKABUMI,4,KEJADIAN,2014
75,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2014
76,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2014
77,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2014
78,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2014
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2014
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KEJADIAN,2014
81,32,JAWA BARAT,3279,KOTA BANJAR,5,KEJADIAN,2014
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,16,KEJADIAN,2015
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,42,KEJADIAN,2015
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9,KEJADIAN,2015
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19,KEJADIAN,2015
86,32,JAWA BARAT,3205,KABUPATEN GARUT,15,KEJADIAN,2015
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4,KEJADIAN,2015
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6,KEJADIAN,2015
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,21,KEJADIAN,2015
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,KEJADIAN,2015
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12,KEJADIAN,2015
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8,KEJADIAN,2015
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2015
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1,KEJADIAN,2015
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,KEJADIAN,2015
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2015
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2015
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,KEJADIAN,2015
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6,KEJADIAN,2015
