Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2020
ACEH,7745
SUMATERA UTARA,32990
SUMATERA BARAT,7992
RIAU,8194
JAMBI,4709
SUMATERA SELATAN,12189
BENGKULU,3333
LAMPUNG,7594
KEP. BANGKA BELITUNG,1931
KEP. RIAU,2843
METRO JAYA,26585
JAWA BARAT,11256
JAWA TENGAH,10712
DI YOGYAKARTA,7721
JAWA TIMUR,17642
BANTEN,4250
BALI,2597
NUSA TENGGARA BARAT,8591
NUSA TENGGARA TIMUR,4790
KALIMANTAN BARAT,3858
KALIMANTAN TENGAH,2629
KALIMANTAN SELATAN,5206
KALIMANTAN TIMUR,3609
KALIMANTAN UTARA,1015
SULAWESI UTARA,6274
SULAWESI TENGAH,5454
SULAWESI SELATAN,12815
SULAWESI TENGGARA,2148
GORONTALO,2518
SULAWESI BARAT,1704
MALUKU,5350
MALUKU UTARA,850
PAPUA BARAT,3162
PAPUA,6962
INDONESIA,247218
