Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2019
ACEH,7483
SUMATERA UTARA,30831
SUMATERA BARAT,11064
RIAU,6570
JAMBI,6848
SUMATERA SELATAN,12861
BENGKULU,3453
LAMPUNG,8534
KEP. BANGKA BELITUNG,1953
KEP. RIAU,3159
METRO JAYA,31934
JAWA BARAT,13145
JAWA TENGAH,10317
DI YOGYAKARTA,6650
JAWA TIMUR,26985
BANTEN,3287
BALI,3047
NUSA TENGGARA BARAT,8185
NUSA TENGGARA TIMUR,5865
KALIMANTAN BARAT,4721
KALIMANTAN TENGAH,2444
KALIMANTAN SELATAN,5375
KALIMANTAN TIMUR,4417
KALIMANTAN UTARA,876
SULAWESI UTARA,7425
SULAWESI TENGAH,6265
SULAWESI SELATAN,16008
SULAWESI TENGGARA,1213
GORONTALO,2367
SULAWESI BARAT,1863
MALUKU,3495
MALUKU UTARA,718
PAPUA BARAT,2972
PAPUA,6994
INDONESIA,269324
