Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2021
ACEH,6651
SUMATERA UTARA,36534
SUMATERA BARAT,5666
RIAU,7512
JAMBI,3701
SUMATERA SELATAN,13037
BENGKULU,3493
LAMPUNG,9764
KEP. BANGKA BELITUNG,1566
KEP. RIAU,2481
METRO JAYA,29103
JAWA BARAT,7502
JAWA TENGAH,8909
DI YOGYAKARTA,4774
JAWA TIMUR,19257
BANTEN,3434
BALI,2404
NUSA TENGGARA BARAT,6296
NUSA TENGGARA TIMUR,4909
KALIMANTAN BARAT,4048
KALIMANTAN TENGAH,2399
KALIMANTAN SELATAN,4973
KALIMANTAN TIMUR,4564
KALIMANTAN UTARA,971
SULAWESI UTARA,6215
SULAWESI TENGAH,5139
SULAWESI SELATAN,14636
SULAWESI TENGGARA,2431
GORONTALO,2445
SULAWESI BARAT,1500
MALUKU,3139
MALUKU UTARA,1008
PAPUA BARAT,2784
PAPUA,6236
INDONESIA,239481
